
 PRINT EPTO NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL TOTAL STRAIN LISTING *****                                 
  PowerGraphics Is Currently Enabled                                           
 
  LOAD STEP=     1  SUBSTEP=    20                                             
   TIME=    1.0000      LOAD CASE=   0                                         
  NODAL RESULTS ARE FOR MATERIAL   1                                           
 
    NODE     EPTO1        EPTO2        EPTO3        EPTOINT      EPTOEQV 
    6211  0.77786E-004 0.27090E-004 -0.45648E-004 0.12343E-003 0.82664E-004
    6271  0.14281E-003 0.14280E-003 -0.60483E-003 0.74763E-003 0.57510E-003
    6272  0.79615E-004 0.21331E-004 -0.43662E-004 0.12328E-003 0.82165E-004
    6273  0.80417E-004 0.14727E-004 -0.41717E-004 0.12213E-003 0.81441E-004
    6274  0.81222E-004 0.81309E-005 -0.39749E-004 0.12097E-003 0.81170E-004
    6275  0.82019E-004 0.15789E-005 -0.37811E-004 0.11983E-003 0.81375E-004
    6276  0.82815E-004 -0.49402E-005 -0.35898E-004 0.11871E-003 0.82047E-004
    6277  0.83608E-004 -0.11430E-004 -0.34008E-004 0.11762E-003 0.83163E-004
    6278  0.84400E-004 -0.17890E-004 -0.32141E-004 0.11654E-003 0.84701E-004
    6279  0.85189E-004 -0.24273E-004 -0.30347E-004 0.11554E-003 0.86634E-004
    6280  0.85976E-004 -0.27954E-004 -0.31254E-004 0.11723E-003 0.88937E-004
    6281  0.86760E-004 -0.26282E-004 -0.37511E-004 0.12427E-003 0.91583E-004
    6282  0.87543E-004 -0.24383E-004 -0.43996E-004 0.13154E-003 0.94550E-004
    6283  0.88323E-004 -0.22429E-004 -0.50537E-004 0.13886E-003 0.97816E-004
    6284  0.89100E-004 -0.20430E-004 -0.57124E-004 0.14622E-003 0.10136E-003
    6285  0.89873E-004 -0.18385E-004 -0.63761E-004 0.15363E-003 0.10517E-003
    6286  0.90643E-004 -0.16290E-004 -0.70449E-004 0.16109E-003 0.10922E-003
    6287  0.91409E-004 -0.14145E-004 -0.77191E-004 0.16860E-003 0.11350E-003
    6288  0.92171E-004 -0.11948E-004 -0.83987E-004 0.17616E-003 0.11800E-003
    6289  0.92927E-004 -0.96991E-005 -0.90836E-004 0.18376E-003 0.12270E-003
    6290  0.93678E-004 -0.74011E-005 -0.97736E-004 0.19141E-003 0.12759E-003
    6291  0.94424E-004 -0.50570E-005 -0.10468E-003 0.19911E-003 0.13264E-003
    6292  0.95162E-004 -0.26710E-005 -0.11167E-003 0.20683E-003 0.13786E-003
    6293  0.95894E-004 -0.24865E-006 -0.11869E-003 0.21459E-003 0.14321E-003
    6294  0.96619E-004 0.22037E-005 -0.12574E-003 0.22236E-003 0.14869E-003
    6295  0.97336E-004 0.46790E-005 -0.13280E-003 0.23014E-003 0.15428E-003
    6296  0.98044E-004 0.71696E-005 -0.13987E-003 0.23792E-003 0.15996E-003
    6297  0.98745E-004 0.96675E-005 -0.14694E-003 0.24569E-003 0.16572E-003
    6298  0.99437E-004 0.12164E-004 -0.15400E-003 0.25344E-003 0.17154E-003
    6299  0.10012E-003 0.14652E-004 -0.16103E-003 0.26115E-003 0.17740E-003
    6300  0.10079E-003 0.17123E-004 -0.16803E-003 0.26883E-003 0.18329E-003
    6301  0.10146E-003 0.19570E-004 -0.17499E-003 0.27645E-003 0.18920E-003
    6302  0.10212E-003 0.21984E-004 -0.18190E-003 0.28402E-003 0.19510E-003
    6303  0.10276E-003 0.24361E-004 -0.18875E-003 0.29151E-003 0.20099E-003
    6304  0.10340E-003 0.26693E-004 -0.19553E-003 0.29894E-003 0.20686E-003
    6305  0.10403E-003 0.28976E-004 -0.20224E-003 0.30627E-003 0.21269E-003
    6306  0.10465E-003 0.31206E-004 -0.20887E-003 0.31353E-003 0.21848E-003
    6307  0.10527E-003 0.33379E-004 -0.21542E-003 0.32069E-003 0.22421E-003
    6308  0.10587E-003 0.35492E-004 -0.22188E-003 0.32775E-003 0.22988E-003
    6309  0.10647E-003 0.37544E-004 -0.22825E-003 0.33472E-003 0.23549E-003
    6310  0.10706E-003 0.39533E-004 -0.23453E-003 0.34159E-003 0.24103E-003
    6311  0.10764E-003 0.41460E-004 -0.24072E-003 0.34836E-003 0.24649E-003
    6312  0.10822E-003 0.43325E-004 -0.24681E-003 0.35503E-003 0.25188E-003
    6313  0.10879E-003 0.45129E-004 -0.25281E-003 0.36161E-003 0.25720E-003
    6314  0.10936E-003 0.46874E-004 -0.25873E-003 0.36809E-003 0.26243E-003
    6315  0.10992E-003 0.48562E-004 -0.26455E-003 0.37447E-003 0.26760E-003
    6316  0.11047E-003 0.50196E-004 -0.27029E-003 0.38077E-003 0.27269E-003
    6317  0.11102E-003 0.51778E-004 -0.27595E-003 0.38698E-003 0.27771E-003
    6318  0.11157E-003 0.53313E-004 -0.28154E-003 0.39311E-003 0.28266E-003
    6319  0.11211E-003 0.54803E-004 -0.28704E-003 0.39915E-003 0.28755E-003
    6320  0.11265E-003 0.56253E-004 -0.29248E-003 0.40513E-003 0.29237E-003
    6321  0.11319E-003 0.57665E-004 -0.29785E-003 0.41103E-003 0.29714E-003
    6322  0.11372E-003 0.59045E-004 -0.30315E-003 0.41687E-003 0.30185E-003
    6323  0.11425E-003 0.60395E-004 -0.30840E-003 0.42265E-003 0.30651E-003
    6324  0.11477E-003 0.61720E-004 -0.31360E-003 0.42837E-003 0.31113E-003
    6325  0.11530E-003 0.63023E-004 -0.31874E-003 0.43404E-003 0.31570E-003
    6326  0.11582E-003 0.64308E-004 -0.32384E-003 0.43966E-003 0.32023E-003
    6327  0.11634E-003 0.65577E-004 -0.32889E-003 0.44523E-003 0.32473E-003
